编号,中文名称,英文名称,建筑分区,x,y,anchor_node_id,nearest_road_id
1,行政楼A1,Administration Building,A,1354.1095,2583.0611,N00071,R086
2,师生服务中心A2,Campus Services Building,A,1718.2695,2579.5254999999997,N00072,R086
3,学术交流中心A3,University Conference Center,A,1716.8553,2776.8083,N00076,R092
4,教师周转公寓C1–C6,Faculty Residences,C,663.76968,3026.5379,N00113,R136
5,银行C1,Bank,C,972.5,2688,N00096,R118
6,博士后及研究生宿舍C7–C15,Postdoc/Graduate Student Residences,C,200.56997,1977.8178,N00106,R128
7,面包店C12,Bakery,C,637.81032,2270.5199,N00083,R102
8,打印店C12,Print Shop,C,637.81032,2270.5199,N00083,R102
9,理发店C12,Hair Salon,C,838.62864,2298.8041,N00065,R079
10,快递站C12,Post Office,C,637.81032,2270.5199,N00083,R102
11,师生活动中心C16,Recreation Club,C,642.7600600000001,2670.7423,N00087,R104
12,餐厅C17/C18,Dining Hall,C,987.82817,2399.2133,N00061,R076
13,餐厅C19,Dining Hall,C,642.7600600000001,2670.7423,N00087,R104
14,超市C19,Supermarket,C,472.19388000000004,2755.8134,N00112,R133
15,讲席教授公寓D1–D20,Chair Professor Residences,D,200.56997,1977.8178,N00106,R128
16,学术会堂E0,Auditorium,E,1624,1662,N00009,R009
17,工学楼E1–E3,Engineering Building,E,1991,2144,N00054,R070
18,理学楼E4–E5,Science Building,E,1361.1806,2316.4818,N00056,R072
19,基础医学楼E6–E7,Basic Medical Sciences Building,E,934.08806,1984.1416,N00069,R082
20,生命科学楼E8–E9,Life Sciences Building,E,861.6414000000001,1579.3761,N00100,R123
21,学术环E10,Academic Ring,E,1319.4613,2089.5005,N00058,R073
22,实验动物中心E11,Laboratory Animal Resources Center,E,1136.3206,1393.7075,N00047,R063
23,图书中心E12,Library,E,1416.5,1210.5,N00028,R044
24,教学中心E13,Lecture Center,E,1697.5,1222.5,N00019,R020
25,科研中心E14,Research Center,E,1947.5,1323.5,N00030,R048
26,教师周转公寓F1–F8,Faculty Residences,F,438.01603000000006,950.68367,N00118,R139
27,教师之家F16,Faculty Recreation Center,F,805.87755,956.97959,N00117,R139
28,餐厅F17,Dining Hall,F,857.14431,858.04373,N00123,R140
29,博士后及研究生宿舍F9–F15,Postdoc/Graduate Student Residences,F,724.03061,644.88192,N00127,R143
30,通识教育中心G1,Center for General Education,G,1034.3294,362.46501,N00130,R144
31,后勤综合楼G2,Facility Management Building,G,818.46939,364.26385,N00163,R174
32,实验动物中心G3,Laboratory Animal Resources Center,G,609.80466,362.46501,N00214,R224
33,试剂用品库房G4,Chemical Storage Building,G,418.22886,361.5656,N00216,R226
34,本科生书院H1–H4,Westlake Residential Colleges,H,2622.6997,906.6122399999999,N00188,R189
35,学生活动中心H5,Student Center,H,2423.0292,926.39942,N00184,R186
36,餐厅H5,Dining Hall,H,2600.2143,930.8965,N00187,R189
37,实验实训楼H6,Laboratory Training Building,H,2232.3528,661.97085,N00153,R161
38,体育中心J1,Recreation Complex,J,2562.4388,1560.4883,N00143,R151
39,体育附属用房J2,Athletic Field House,J,2631.6938999999998,2437.4197999999997,N00137,R147
40,网球场,Tennis Court,J,2411.3367,2432.0233,N00136,R147
41,篮球场,Basketball Court,J,2631.6938999999998,2437.4197999999997,N00137,R147
42,足球场,Football Court,J,1888.6822000000002,2575.9900000000002,N00073,R087
43,排球场,Volleyball Court,J,2562.4388,1902.2668,N00142,R151
44,北校门,North Gate,Gate,1457.0554,222.15597999999997,N00211,R218
45,南校门,South Gate,Gate,1452.5583,2965.3776000000003,N00133,R146
46,2号门,Gate 2,Gate,1161.1471999999999,2996.8571,N00114,R137
47,3号门,Gate 3,Gate,199.67055000000005,2271.9271,N00108,R130
48,7号门,Gate 7,Gate,2959.9809999999998,1899.5685,N00139,R149
