区域,编号,中文名称,英文名称,备注
A区,A1,行政楼,Administration Building,
A区,A2,师生服务中心,Campus Services Building,
A区,A3,学术交流中心,University Conference Center,
C区,C1-C6,教师周转公寓,Faculty Residences,
C区,C1,银行,Bank,
C区,C7-C15,博士后及研究生宿舍,Postdoc/Graduate Student Residences,
C区,C12,面包店,Bakery,
C区,C12,打印店,Print Shop,
C区,C12,理发店,Hair Salon,
C区,C12,快递站,Post Office,
C区,C16,师生活动中心,Recreation Club,
C区,C17/C18,餐厅,Dining Hall,
C区,C19,餐厅,Dining Hall,
C区,C19,超市,Supermarket,
D区,D1-D20,讲席教授公寓,Chair Professor Residences,
E区,E0,学术会堂,Auditorium,
E区,E1-E3,工学楼,Engineering Building,
E区,E4-E5,理学楼,Science Building,
E区,E6-E7,基础医学楼,Basic Medical Sciences Building,
E区,E8-E9,生命科学楼,Life Sciences Building,
E区,E10,学术环,Academic Ring,
E区,E11,实验动物中心,Laboratory Animal Resources Center,
E区,E12,图书中心,Library,
E区,E13,教学中心,Lecture Center,
E区,E14,科研中心,Research Center,
F区,F1-F8,教师周转公寓,Faculty Residences,
F区,F16,教师之家,Faculty Recreation Center,
F区,F17,餐厅,Dining Hall,
F区,F9-F15,博士后及研究生宿舍,Postdoc/Graduate Student Residences,
G区,G1,通识教育中心,Center for General Education,
G区,G2,后勤综合楼,Facility Management Building,
G区,G3,实验动物中心,Laboratory Animal Resources Center,
G区,G4,试剂用品库房,Chemical Storage Building,
H区,H1-H4,本科生书院,Westlake Residential Colleges,
H区,H5,学生活动中心,Student Center,
H区,H5,餐厅,Dining Hall,
H区,H6,实验实训楼,Laboratory Training Building,
J区,J1,体育中心,Recreation Complex,
J区,J2,体育附属用房,Athletic Field House,
运动场地,,网球场,Tennis Court,
运动场地,,篮球场,Basketball Court,
运动场地,,足球场,Football Court,
运动场地,,排球场,Volleyball Court,
校门与道路,,北校门,North Gate,
校门与道路,,南校门,South Gate,
校门与道路,,1号门,Gate 1,
校门与道路,,2号门,Gate 2,
校门与道路,,7号门,Gate 7,
校门与道路,,8号门,Gate 8,
校门与道路,,墩余路,DUNYU ROAD,
校门与道路,,牧沄路,MUYUN ROAD,
校门与道路,,牧沄支路,MUYUN ZHI ROAD,
